contestant_name,age,hometown,profession,industry,num_season,finish,winner,gender,black,asian,latinx,poc,jewish,muslim,lgbt,num_appearance,state,country,region,birthdate,astrological_sign,num_boot,initial-tribe,tribe_color
Colleen Haskell,23,"Miami Beach,  FL",Student,Education,1,6,0,F,0,0,0,0,0,0,0,1,Florida,US,South,12/6/76,Sagittarius,11,Pagong,Yellow
Sean Kenniff,30,"Carle Place,  NY",Neurologist,Healthcare & Wellness,1,5,0,M,0,0,0,0,0,0,0,1,New York,US,Northeast,11/27/69,Sagittarius,12,Tagi,Orange
Susan Hawk,38,"Palmyra,  WI",Truck Driver,Transportation & Logistics,1,4,0,F,0,0,0,0,0,0,0,1,Wisconsin,US,Midwest,8/17/61,Leo,13,Tagi,Orange
Rudy Boesch,72,"Virginia Beach,  VA",Retired NAVY Seal,"Law, Public Safety, Military",1,3,0,M,0,0,0,0,0,0,0,1,Virginia,US,South,1/20/28,Aquarius,14,Tagi,Orange
Kelly Wiglesworth,22,"Kernville,  CA",River Rafting Guide,"Sports, Fitness, Recreation",1,2,0,F,0,0,0,0,0,0,0,1,California,US,West,6/24/77,Cancer,15,Tagi,Orange
Richard Hatch,39,"Newport,  RI",Corporate Trainer,"Business, Finance, Administrative",1,1,1,M,0,0,0,0,0,0,1,1,Rhode Island,US,Northeast,4/8/61,Aries,16,Tagi,Orange
Debb Eaton,45,"Milan,  NH",Corrections Officer,"Law, Public Safety, Military",2,16,0,F,0,0,0,0,0,0,0,1,New Hampshire,US,Northeast,6/11/55,Gemini,1,Kucha,Blue
Kel Gleason,32,"Fort Hood,  TX",Army Intelligence Officer,"Law, Public Safety, Military",2,15,0,M,0,0,1,1,0,0,0,1,Texas,US,South,1/5/68,Capricorn,2,Ogakor,Green
Maralyn Hershey,51,"Wakefield,  VA",Retired Police Officer,"Law, Public Safety, Military",2,14,0,F,0,0,0,0,0,0,0,1,Virginia,US,South,1/24/49,Aquarius,3,Ogakor,Green
Mitchell Olson,23,"Union City,  NJ",Singer/Songwriter,"Arts, Media, Entertainment",2,13,0,M,0,0,0,0,0,0,1,1,New Jersey,US,Northeast,3/17/77,Pisces,4,Ogakor,Green
Kimmi Kappenberg,28,"Ronkonkoma,  NY",Bartender,Food and Hospitality,2,12,0,F,0,0,0,0,0,0,0,1,New York,US,Northeast,11/11/72,Scorpio,5,Kucha,Blue
Michael Skupin,38,"White Lake,  MI",Software Publisher,"Science, Technology, Engineering, Energy",2,11,0,M,0,0,0,0,0,0,0,1,Michigan,US,Midwest,1/29/62,Aquarius,6,Kucha,Blue
Jeff Varner,34,"New York,  NY",Internet Projects Manager,"Science, Technology, Engineering, Energy",2,10,0,M,0,0,0,0,0,0,1,1,New York,US,Northeast,4/16/66,Aries,7,Kucha,Blue
Alicia Calaway,32,"New York,  NY",Personal Trainer,"Sports, Fitness, Recreation",2,9,0,F,1,0,0,1,0,0,0,1,New York,US,Northeast,5/1/68,Taurus,8,Kucha,Blue
Jerri Manthey,30,"Los Angeles,  CA",Aspiring Actress,"Arts, Media, Entertainment",2,8,0,F,0,0,0,0,0,0,0,1,California,US,West,9/5/70,Virgo,9,Ogakor,Green
Nick Brown,23,"Steilacoom,  WA",Law Student,Education,2,7,0,M,1,0,0,1,0,0,0,1,Washington,US,West,4/2/77,Aries,10,Kucha,Blue
Amber Mariano,22,"Beaver,  PA",Administrative Assistant,"Business, Finance, Administrative",2,6,0,F,0,0,0,0,0,0,0,1,Pennsylvania,US,Northeast,8/11/78,Leo,11,Ogakor,Green
Rodger Bingham,53,"Crittenden,  KY",Teacher/Farmer,Education,2,5,0,M,0,0,0,0,0,0,0,1,Kentucky,US,Midwest,7/5/47,Cancer,12,Kucha,Blue
Elisabeth Filarski,23,"Newton,  MA",Footwear Designer,"Arts, Media, Entertainment",2,4,0,F,0,0,0,0,0,0,0,1,Massachusetts,US,Northeast,5/28/77,Gemini,13,Kucha,Blue
Keith Famie,40,"West Bloomfield,  MI",Chef,Food and Hospitality,2,3,0,M,0,0,0,0,0,0,0,1,Michigan,US,Midwest,2/11/60,Aquarius,14,Ogakor,Green
Colby Donaldson,26,"Dallas,  TX",Auto Customizer,Transportation & Logistics,2,2,0,M,0,0,0,0,0,0,0,1,Texas,US,South,4/1/74,Aries,15,Ogakor,Green
Tina Wesson,39,"Knoxville,  TN",Personal Nurse,Healthcare & Wellness,2,1,1,F,0,0,0,0,0,0,0,1,Tennessee,US,South,12/26/60,Capricorn,16,Ogakor,Green
Diane Ogden,42,"Lincoln,  NE",Mail Carrier,Transportation & Logistics,3,16,0,F,0,0,0,0,0,0,0,1,Nebraska,US,Midwest,4/27/59,Taurus,1,Boran,Yellow
Jessie Camacho,27,"Orlando,  FL",Sheriff,"Law, Public Safety, Military",3,15,0,F,0,0,1,1,0,0,0,1,Florida,US,South,9/24/74,Libra,2,Boran,Yellow
Carl Bilancione,46,"Winter Springs,  FL",Dentist,Healthcare & Wellness,3,14,0,M,0,0,0,0,0,0,0,1,Florida,US,South,6/20/55,Gemini,3,Samburu,Red
Linda Spencer,44,"Boston,  MA",Career Counselor,"Business, Finance, Administrative",3,13,0,F,1,0,0,1,0,0,0,1,Massachusetts,US,Northeast,1/1/57,Capricorn,4,Samburu,Red
Silas Gaither,23,"Los Angeles,  CA",Bartender,Food and Hospitality,3,12,0,M,0,0,0,0,0,0,0,1,California,US,West,1/28/78,Aquarius,5,Samburu,Red
Lindsey Richter,27,"Portland,  OR",Advertising Executive,"Advertising, Marketing, Sales",3,11,0,F,0,0,0,0,0,0,0,1,Oregon,US,West,8/31/74,Virgo,6,Samburu,Red
Clarence Black,24,"Detroit,  MI",Basketball Coach,"Sports, Fitness, Recreation",3,10,0,M,1,0,0,1,0,0,0,1,Michigan,US,Midwest,12/21/76,Sagittarius,7,Boran,Yellow
Kelly Goldsmith,22,"San Diego,  CA",Behavior Analyst,Healthcare & Wellness,3,9,0,F,0,0,0,0,0,0,0,1,California,US,West,4/27/79,Taurus,8,Boran,Yellow
Brandon Quinton,25,"Dallas,  TX",Bartender,Food and Hospitality,3,8,0,M,0,0,0,0,0,0,1,1,Texas,US,South,1/22/76,Aquarius,9,Samburu,Red
Frank Garrison,43,"Odessa,  NY",Telephone Technician,"Science, Technology, Engineering, Energy",3,7,0,M,0,0,0,0,0,0,0,1,New York,US,Northeast,7/22/58,Cancer,10,Samburu,Red
Kim Powers,29,"Conshohocken,  PA",Freelance Marketer,"Advertising, Marketing, Sales",3,6,0,F,0,0,0,0,0,0,0,1,Pennsylvania,US,Northeast,12/3/71,Sagittarius,11,Samburu,Red
Teresa Cooper,42,"Jackson,  GA",Flight Attendant,Transportation & Logistics,3,5,0,F,0,0,0,0,0,0,0,1,Georgia,US,South,5/5/59,Taurus,12,Samburu,Red
Tom Buchanan,46,"Rich Valley,  VA",Goat Farmer,Agriculture and Environment,3,4,0,M,0,0,0,0,0,0,0,1,Virginia,US,South,10/30/55,Scorpio,13,Boran,Yellow
Lex van den Berghe,38,"Santa Cruz,  CA",Marketing Manager,"Advertising, Marketing, Sales",3,3,0,M,0,0,0,0,0,0,0,1,California,US,West,6/18/63,Gemini,14,Boran,Yellow
Kim Johnson,57,"Oyster Bay,  NY",Retired Teacher,Education,3,2,0,F,0,0,0,0,0,0,0,1,New York,US,Northeast,9/18/44,Virgo,15,Boran,Yellow
Ethan Zohn,27,"New York,  NY",Professional Soccer Player,"Sports, Fitness, Recreation",3,1,1,M,0,0,0,0,1,0,0,1,New York,US,Northeast,11/12/73,Scorpio,16,Boran,Yellow
Peter Harkey,45,"Millis,  MA",Bowling Alley Owner,"Business, Finance, Administrative",4,16,0,M,0,0,0,0,0,0,0,1,Massachusetts,US,Northeast,1/17/56,Capricorn,1,Maraamu,Green
Patricia Jackson,49,"Lugoff,  SC",Truck Assembler,Transportation & Logistics,4,15,0,F,0,0,0,0,0,0,0,1,South Carolina,US,South,4/8/52,Aries,2,Maraamu,Green
Hunter Ellis,33,"La Jolla,  CA",Ex-Navy Fighter Pilot,"Law, Public Safety, Military",4,14,0,M,0,0,0,0,0,0,0,1,California,US,West,7/5/68,Cancer,3,Maraamu,Green
Sarah Jones,24,"Newport Beach,  CA",Account Manager,"Business, Finance, Administrative",4,13,0,F,0,0,0,0,0,0,0,1,California,US,West,8/11/77,Leo,4,Maraamu,Green
Gabriel Cade,23,"Hollywood,  CA",Bartender,Food and Hospitality,4,12,0,M,0,0,0,0,0,0,0,1,California,US,West,7/1/78,Cancer,5,Rotu,Blue
Gina Crews,28,"Gainesville,  FL",Nature Guide,"Sports, Fitness, Recreation",4,11,0,F,0,0,0,0,0,0,0,1,Florida,US,South,2/7/73,Aquarius,6,Maraamu,Green
Rob Mariano,26,"Canton,  MA",Construction Worker,Real Estate & Construction,4,10,0,M,0,0,0,0,0,0,0,1,Massachusetts,US,Northeast,12/25/75,Capricorn,7,Maraamu,Green
John Carroll,36,"Omaha,  NE",Nurse,Healthcare & Wellness,4,9,0,M,0,0,0,0,0,0,1,1,Nebraska,US,Midwest,6/14/65,Gemini,8,Rotu,Blue
Zoe Zanidakis,35,"Monhegan Island,  ME",Fishing Boat Captain,Agriculture and Environment,4,8,0,F,0,0,0,0,0,0,0,1,Maine,US,Northeast,3/17/66,Pisces,9,Rotu,Blue
Tammy Leitner,29,"Mesa,  AZ",Crime Reporter,"Arts, Media, Entertainment",4,7,0,F,0,0,0,0,0,0,0,1,Arizona,US,West,7/3/72,Cancer,10,Rotu,Blue
Robert DeCanio,38,"College Point,  NY",Limousine Driver,Transportation & Logistics,4,6,0,M,0,0,0,0,0,0,0,1,New York,US,Northeast,6/19/63,Gemini,11,Rotu,Blue
Sean Rector,30,"Los Angeles,  CA",Teacher,Education,4,5,0,M,1,0,0,1,0,0,0,1,California,US,West,8/20/71,Leo,12,Maraamu,Green
Paschal English,57,"Thomaston,  GA",Judge,"Law, Public Safety, Military",4,4,0,M,0,0,0,0,0,0,0,1,Georgia,US,South,3/5/45,Pisces,13,Rotu,Blue
Kathy Vavrick-O'Brien,47,"Burlington,  VT",Real Estate Agent,Real Estate & Construction,4,3,0,F,0,0,0,0,0,0,0,1,Vermont,US,Northeast,1/6/55,Capricorn,14,Rotu,Blue
Neleh Dennis,21,"Layton,  UT",Student,Education,4,2,0,F,0,0,0,0,0,0,0,1,Utah,US,West,2/19/80,Pisces,15,Rotu,Blue
Vecepia Towery,36,"Hayward,  CA",Office Manager,"Business, Finance, Administrative",4,1,1,F,1,0,0,1,0,0,0,1,California,US,West,12/9/65,Sagittarius,16,Maraamu,Green
John Raymond,40,"Slidell,  LA",Pastor,"Nonprofit, Social, Religious",5,16,0,M,0,0,0,0,0,0,0,1,Louisiana,US,South,2/21/62,Pisces,1,Chuay Gahn,Orange
Tanya Vance,27,"Kingsport,  TN",Social Worker,"Nonprofit, Social, Religious",5,15,0,F,0,0,0,0,0,0,0,1,Tennessee,US,South,11/29/74,Sagittarius,2,Chuay Gahn,Orange
Jed Hildebrand,25,"Dallas,  TX",Dental Student,Education,5,14,0,M,0,0,0,0,0,0,0,1,Texas,US,South,12/5/76,Sagittarius,3,Sook Jai,Purple
Ghandia Johnson,33,"Denver,  CO",Legal Secretary,"Business, Finance, Administrative",5,13,0,F,1,0,0,1,0,0,0,1,Colorado,US,West,1/3/69,Capricorn,4,Chuay Gahn,Orange
Stephanie Dill,29,"Fayetteville,  AR",Firefighter,"Law, Public Safety, Military",5,12,0,F,0,0,0,0,0,0,0,1,Arkansas,US,South,11/15/72,Scorpio,5,Sook Jai,Purple
Robb Zbacnik,23,"Scottsdale,  AZ",Bartender,Food and Hospitality,5,11,0,M,0,0,0,0,0,0,0,1,Arizona,US,West,9/12/78,Virgo,6,Sook Jai,Purple
Shii Ann Huang,28,"New York,  NY",Executive Recruiter,"Business, Finance, Administrative",5,10,0,F,0,1,0,1,0,0,0,1,New York,US,Northeast,1/24/74,Aquarius,7,Sook Jai,Purple
Erin Collins,26,"Austin,  TX",Real Estate Agent,Real Estate & Construction,5,9,0,F,0,0,0,0,0,0,0,1,Texas,US,South,1/7/76,Capricorn,8,Sook Jai,Purple
Ken Stafford,30,"Brooklyn,  NY",Police Officer,"Law, Public Safety, Military",5,8,0,M,0,0,0,0,0,0,0,1,New York,US,Northeast,6/20/72,Gemini,9,Sook Jai,Purple
Penny Ramsey,27,"Plano,  TX",Pharmaceutical Saleswoman,"Advertising, Marketing, Sales",5,7,0,F,0,0,0,0,0,0,0,1,Texas,US,South,4/24/75,Taurus,10,Sook Jai,Purple
Jake Billingsley,61,"McKinney,  TX",Land Broker,Real Estate & Construction,5,6,0,M,0,0,0,0,0,0,0,1,Texas,US,South,8/21/41,Leo,11,Sook Jai,Purple
"Ted Rogers, Jr.",37,"Durham,  NC",Software Developer,"Science, Technology, Engineering, Energy",5,5,0,M,1,0,0,1,0,0,0,1,North Carolina,US,South,12/28/64,Capricorn,12,Chuay Gahn,Orange
Helen Glover,47,"Middletown,  RI",Navy Swim Instructor,"Law, Public Safety, Military",5,4,0,F,0,0,0,0,0,0,0,1,Rhode Island,US,Northeast,4/28/55,Taurus,13,Chuay Gahn,Orange
Jan Gentry,53,"Tampa,  FL",Teacher,Education,5,3,0,F,0,0,0,0,0,0,0,1,Florida,US,South,10/31/48,Scorpio,14,Chuay Gahn,Orange
Clay Jordan,46,"Monroe,  LA",Restaurant Owner,Food and Hospitality,5,2,0,M,0,0,0,0,0,0,0,1,Louisiana,US,South,12/30/55,Capricorn,15,Chuay Gahn,Orange
Brian Heidik,34,"Quartz Hill,  CA",Used Car Salesman,"Advertising, Marketing, Sales",5,1,1,M,0,0,0,0,0,0,0,1,California,US,West,3/9/68,Pisces,16,Chuay Gahn,Orange
Ryan Aiken,23,"Ellicott City,  MD",Model,"Arts, Media, Entertainment",6,16,0,M,0,0,0,0,0,0,0,1,Maryland,US,South,2/13/79,Aquarius,1,Tambaqui,Blue
Janet Koth,47,"Manchester,  MO",Homemaker,Childcare/Domestic,6,15,0,F,0,0,0,0,0,0,0,1,Missouri,US,Midwest,11/18/55,Scorpio,2,Jaburu,Yellow
Daniel Lue,27,"Houston,  TX",Tax Accountant,"Business, Finance, Administrative",6,14,0,M,0,1,0,1,0,0,0,1,Texas,US,South,11/29/75,Sagittarius,3,Tambaqui,Blue
JoAnna Ward,31,"Orangeburg,  SC",Guidance Counselor,Education,6,13,0,F,1,0,0,1,0,0,0,1,South Carolina,US,South,4/29/71,Taurus,4,Jaburu,Yellow
Jeanne Hebert,41,"North Attleborough,  MA",Marketing Director,"Advertising, Marketing, Sales",6,12,0,F,0,0,0,0,0,0,0,1,Massachusetts,US,Northeast,1/6/62,Capricorn,5,Jaburu,Yellow
Shawna Mitchell,23,"Redwood City,  CA",Retail Saleswoman,"Advertising, Marketing, Sales",6,11,0,F,0,0,0,0,0,0,0,1,California,US,West,7/28/79,Leo,6,Jaburu,Yellow
Roger Sexton,56,"Valencia,  CA",Construction Company Vice President,Real Estate & Construction,6,10,0,M,0,0,0,0,0,0,0,1,California,US,West,9/26/46,Libra,7,Tambaqui,Blue
Dave Johnson,24,"Pasadena,  CA",Rocket Scientist,"Science, Technology, Engineering, Energy",6,9,0,M,0,0,0,0,0,0,0,1,California,US,West,1/16/79,Capricorn,8,Tambaqui,Blue
Deena Bennett,35,"Riverside,  CA",Deputy District Attorney,"Law, Public Safety, Military",6,8,0,F,0,0,1,1,0,0,0,1,California,US,West,2/12/67,Aquarius,9,Jaburu,Yellow
Alex Bell,32,"Los Angeles,  CA",Triathlon Coach,"Sports, Fitness, Recreation",6,7,0,M,0,0,0,0,0,0,0,1,California,US,West,5/16/70,Taurus,10,Tambaqui,Blue
Christy Smith,24,"Basalt,  CO",Children's Adventure Guide,"Sports, Fitness, Recreation",6,6,0,F,0,0,0,0,0,0,0,1,Colorado,US,West,9/13/78,Virgo,11,Jaburu,Yellow
Heidi Strobel,24,"Jefferson City,  MO",Gym Teacher,Education,6,5,0,F,0,0,0,0,0,0,0,1,Missouri,US,Midwest,10/29/78,Scorpio,12,Jaburu,Yellow
Butch Lockley,50,"Olney,  IL",School Principal,Education,6,4,0,M,0,0,0,0,0,0,0,1,Illinois,US,Midwest,8/28/52,Virgo,13,Tambaqui,Blue
Rob Cesternino,24,"Wantagh,  NY",Computer Projects Coordinator,"Science, Technology, Engineering, Energy",6,3,0,M,0,0,0,0,0,0,0,1,New York,US,Northeast,10/20/78,Libra,14,Tambaqui,Blue
Matthew von Ertfelda,33,"Washington,  D.C.",Restaurant Designer,"Arts, Media, Entertainment",6,2,0,M,0,0,0,0,0,0,0,1,"Washington,  D.C.",US,South,7/24/69,Leo,15,Tambaqui,Blue
Jenna Morasca,21,"Pittsburgh,  PA",Swimsuit Model,"Arts, Media, Entertainment",6,1,1,F,0,0,0,0,0,0,0,1,Pennsylvania,US,Northeast,2/15/81,Aquarius,16,Jaburu,Yellow
Nicole Delma,24,"Hermosa Beach,  CA",Massage Therapist,Healthcare & Wellness,7,16,0,F,0,0,0,0,0,0,0,1,California,US,West,9/19/78,Virgo,1,Morgan,Orange
Ryan Shoulders,23,"Clarksville,  TN",Produce Clerk,Retail and Consumer Services,7,15,0,M,0,0,0,0,0,0,0,1,Tennessee,US,South,3/28/80,Aries,2,Morgan,Orange
Michelle Tesauro,22,"Pittstown,  NJ",Student,Education,7,14,0,F,0,0,0,0,0,0,0,1,New Jersey,US,Northeast,1/16/81,Capricorn,3,Drake,Blue
Trish Dunn,42,"Annapolis,  MD",Sales Executive,"Advertising, Marketing, Sales",7,13,0,F,0,0,0,0,0,0,0,1,Maryland,US,South,10/29/60,Scorpio,4,Drake,Blue
Shawn Cohen,28,"New York,  NY",Advertising Salesman,"Advertising, Marketing, Sales",7,12,0,M,0,0,0,0,1,0,0,1,New York,US,Northeast,9/20/74,Virgo,5,Drake,Blue
Osten Taylor,27,"Boston,  MA",Equity Trade Manager,"Business, Finance, Administrative",7,11,0,M,1,0,0,1,0,0,0,1,Massachusetts,US,Northeast,12/10/75,Sagittarius,6,Morgan,Orange
Andrew Savage,40,"Chicago,  IL",Attorney,"Law, Public Safety, Military",7,10,0,M,0,0,0,0,0,0,0,1,Illinois,US,Midwest,7/29/63,Leo,7,Morgan,Orange
Ryan Opray,31,"Los Gatos,  CA",Electrician,Trades & Manufacturing,7,9,0,M,0,0,0,0,0,0,0,1,California,US,West,8/6/72,Leo,8,Morgan,Orange
Rupert Boneham,39,"Indianapolis,  IN",Troubled Teens Mentor,"Nonprofit, Social, Religious",7,8,0,M,0,0,0,0,0,0,0,1,Indiana,US,Midwest,1/27/64,Aquarius,9,Drake,Blue
Tijuana Bradley,27,"St. Louis,  MO",Pharmaceutical Saleswoman,"Advertising, Marketing, Sales",7,7,0,F,1,0,0,1,0,0,0,1,Missouri,US,Midwest,7/23/76,Leo,10,Morgan,Orange
Christa Hastie,24,"Los Angeles,  CA",Computer Programmer,"Science, Technology, Engineering, Energy",7,6,0,F,0,0,0,0,0,0,0,1,California,US,West,11/6/78,Scorpio,11,Drake,Blue
Burton Roberts,31,"San Francisco,  CA",Marketing Executive,"Advertising, Marketing, Sales",7,5,0,M,0,0,0,0,0,0,0,1,California,US,West,4/10/72,Aries,12,Drake,Blue
Darrah Johnson,22,"Liberty,  MS",Mortician,End-of-life Services,7,4,0,F,0,0,0,0,0,0,0,1,Mississippi,US,South,5/19/81,Taurus,13,Morgan,Orange
Jon Dalton,29,"Danville,  VA",Art Consultant,"Arts, Media, Entertainment",7,3,0,M,0,0,0,0,0,0,0,1,Virginia,US,South,3/11/74,Pisces,14,Drake,Blue
Lillian Morris,51,"Cincinnati,  OH",Scoutmaster,"Sports, Fitness, Recreation",7,2,0,F,0,0,0,0,0,0,0,1,Ohio,US,Midwest,4/3/52,Aries,15,Morgan,Orange
Sandra Diaz-Twine,29,"Fort Lewis,  WA",Office Assistant,"Business, Finance, Administrative",7,1,1,F,0,0,1,1,0,0,0,1,Washington,US,West,7/30/74,Leo,16,Drake,Blue
Tina Wesson,42,"Knoxville,  TN",Motivational Speaker,"Arts, Media, Entertainment",8,18,0,F,0,0,0,0,0,0,0,2,Tennessee,US,South,12/26/60,Capricorn,1,Saboga,Yellow
Rudy Boesch,75,"Virginia Beach,  VA",Retired Navy Seal,"Law, Public Safety, Military",8,17,0,M,0,0,0,0,0,0,0,2,Virginia,US,South,1/20/28,Aquarius,2,Saboga,Yellow
Jenna Morasca,22,"Pittsburgh,  PA",Swimsuit Model,"Arts, Media, Entertainment",8,16,0,F,0,0,0,0,0,0,0,2,Pennsylvania,US,Northeast,2/15/81,Aquarius,3,Mogo Mogo,Green
Rob Cesternino,25,"Wantagh,  NY",Computer Projects Coordinator,"Science, Technology, Engineering, Energy",8,15,0,M,0,0,0,0,0,0,0,2,New York,US,Northeast,10/20/78,Libra,4,Chapera,Red
Richard Hatch,42,"Newport,  RI",Corporate Trainer,"Business, Finance, Administrative",8,14,0,M,0,0,0,0,0,0,1,2,Rhode Island,US,Northeast,4/8/61,Aries,5,Mogo Mogo,Green
Susan Hawk,42,"Palmyra,  WI",Waitress/Bartender,Food and Hospitality,8,13,0,F,0,0,0,0,0,0,0,2,Wisconsin,US,Midwest,8/17/61,Leo,6,Chapera,Red
Colby Donaldson,29,"Dallas,  TX",Actor,"Arts, Media, Entertainment",8,12,0,M,0,0,0,0,0,0,0,2,Texas,US,South,4/1/74,Aries,7,Mogo Mogo,Green
Ethan Zohn,30,"Lexington,  MA",Motivational Speaker,"Arts, Media, Entertainment",8,11,0,M,0,0,0,0,1,0,0,2,Massachusetts,US,Northeast,11/12/73,Scorpio,8,Saboga,Yellow
Jerri Manthey,33,"Los Angeles,  CA",Actress,"Arts, Media, Entertainment",8,10,0,F,0,0,0,0,0,0,0,2,California,US,West,9/5/70,Virgo,9,Saboga,Yellow
Lex van den Berghe,40,"Santa Cruz,  CA",Freelance Writer,"Arts, Media, Entertainment",8,9,0,M,0,0,0,0,0,0,0,2,California,US,West,6/18/63,Gemini,10,Mogo Mogo,Green
Kathy Vavrick-O'Brien,49,"Burlington,  VT",Real Estate Agent,Real Estate & Construction,8,8,0,F,0,0,0,0,0,0,0,2,Vermont,US,Northeast,1/6/55,Capricorn,11,Mogo Mogo,Green
Alicia Calaway,35,"New York,  NY",Health and Fitness Reporter,"Sports, Fitness, Recreation",8,7,0,F,1,0,0,1,0,0,0,2,New York,US,Northeast,5/1/68,Taurus,12,Chapera,Red
Shii Ann Huang,30,"New York,  NY",Executive Recruiter,"Business, Finance, Administrative",8,6,0,F,0,1,0,1,0,0,0,2,New York,US,Northeast,1/24/74,Aquarius,13,Mogo Mogo,Green
Tom Buchanan,48,"Rich Valley,  VA",Goat Farmer,Agriculture and Environment,8,5,0,M,0,0,0,0,0,0,0,2,Virginia,US,South,10/30/55,Scorpio,14,Chapera,Red
Rupert Boneham,40,"Indianapolis,  IN",Troubled Teens Mentor,"Nonprofit, Social, Religious",8,4,0,M,0,0,0,0,0,0,0,2,Indiana,US,Midwest,1/27/64,Aquarius,15,Saboga,Yellow
Jenna Lewis,26,"Franklin,  NH",Actress,"Arts, Media, Entertainment",8,3,0,F,0,0,0,0,0,0,0,2,New Hampshire,US,Northeast,7/16/77,Cancer,16,Saboga,Yellow
Rob Mariano,28,"Canton,  MA",Construction Worker,Real Estate & Construction,8,2,0,M,0,0,0,0,0,0,0,2,Massachusetts,US,Northeast,12/25/75,Capricorn,17,Chapera,Red
Amber Mariano,25,"Beaver,  PA",Administrative Assistant,"Business, Finance, Administrative",8,1,1,F,0,0,0,0,0,0,0,2,Pennsylvania,US,Northeast,8/11/78,Leo,18,Chapera,Red
Brook Geraghty,33,"Huntington Beach,  CA",Document Manager,"Business, Finance, Administrative",9,18,0,M,0,0,0,0,0,0,0,1,California,US,West,11/20/76,Scorpio,1,Lopevi,Red
Dolly Neely,25,"Mercer,  PA",Sheep Farmer,Agriculture and Environment,9,17,0,F,0,0,0,0,0,0,0,1,Pennsylvania,US,Northeast,11/18/78,Scorpio,2,Yasur,Yellow
John Palyok,31,"Los Angeles,  CA",Sales Manager,"Advertising, Marketing, Sales",9,16,0,M,0,0,0,0,0,0,0,1,California,US,West,5/13/73,Taurus,3,Lopevi,Red
Mia Galeotalanza,30,"Toms River,  NJ",Bookkeeper,"Business, Finance, Administrative",9,15,0,F,0,0,0,0,0,0,0,1,New Jersey,US,Northeast,8/17/74,Leo,4,Yasur,Yellow
Brady Finta,33,"Huntington Beach,  CA",FBI Agent,"Law, Public Safety, Military",9,14,0,M,0,0,0,0,0,0,0,1,California,US,West,12/17/70,Sagittarius,5,Lopevi,Red
Travis Sampson,33,"Blountville,  TN",Security Officer,"Law, Public Safety, Military",9,13,0,M,0,0,0,0,0,0,0,1,Tennessee,US,South,2/19/71,Pisces,6,Lopevi,Red
Lisa Keiffer,44,"New Orleans,  LA",Real State Agent,Real Estate & Construction,9,12,0,F,0,0,0,0,0,0,0,1,Louisiana,US,South,5/3/60,Taurus,7,Yasur,Yellow
John Kenney,22,"Los Angeles,  CA",Mechanical Bull Operator/Model,"Arts, Media, Entertainment",9,11,0,M,0,0,0,0,0,0,0,1,California,US,West,9/26/81,Libra,8,Lopevi,Red
Rory Freeman,35,"Des Moines,  IA",Housing Case Manager,"Nonprofit, Social, Religious",9,10,0,M,1,0,0,1,0,0,0,1,Iowa,US,Midwest,10/30/68,Scorpio,9,Lopevi,Red
Lea Masters,40,"Columbia,  SC",Drill Sergeant,"Law, Public Safety, Military",9,9,0,M,0,0,0,0,0,0,0,1,South Carolina,US,South,3/28/64,Aries,10,Lopevi,Red
