contestant_name,age,hometown,profession,num_season,finish,winner,black,asian,latinx,poc,jewish,muslim,lgbt,num_appearance,country,birthdate,num_boot,initial-tribe,"industry_Advertising, Marketing, Sales",industry_Agriculture and Environment,"industry_Arts, Media, Entertainment","industry_Business, Finance, Administrative",industry_Childcare/Domestic,industry_Education,industry_End-of-life Services,industry_Food and Hospitality,industry_Healthcare & Wellness,"industry_Law, Public Safety, Military","industry_Nonprofit, Social Services, Religious","industry_Nonprofit, Social, Religious",industry_Real Estate & Construction,industry_Retail and Consumer Services,"industry_Science, Technology, Engineering, Energy","industry_Sports, Fitness, Recreation",industry_Trades & Manufacturing,industry_Transportation & Logistics,gender_F,gender_M,gender_N,state_Alabama,state_Arizona,state_Arkansas,state_British Columbia,state_California,state_Colorado,state_Connecticut,state_Delaware,state_District of Columbia,state_Florida,state_Georgia,state_Hawaii,state_Idaho,state_Illinois,state_Indiana,state_Iowa,state_Kansas,state_Kentucky,state_Louisiana,state_Maine,state_Maryland,state_Massachusetts,state_Michigan,state_Minnesota,state_Mississippi,state_Missouri,state_Montana,state_Nebraska,state_Nevada,state_New Hampshire,state_New Jersey,state_New York,state_North Carolina,state_Ohio,state_Oklahoma,state_Ontario,state_Oregon,state_Pennsylvania,state_Puerto Rico,state_Quebec,state_Rhode Island,state_Saskatchewan ,state_South Carolina,state_South Dakota,state_Tennessee,state_Texas,state_Utah,state_Vermont,state_Virginia,state_Washington,"state_Washington,  D.C.",state_Wisconsin,state_Wyoming,region_Canada,region_Caribbean,region_Midwest,region_Northeast,region_Pacific,region_South,region_West,astrological_sign_Aquarius,astrological_sign_Aries,astrological_sign_Cancer,astrological_sign_Capricorn,astrological_sign_Gemini,astrological_sign_Leo,astrological_sign_Libra,astrological_sign_Pisces,astrological_sign_Sagittarius,astrological_sign_Scorpio,astrological_sign_Taurus,astrological_sign_Virgo,tribe_color_Black,tribe_color_Blue,tribe_color_Brown,tribe_color_Green,tribe_color_Orange,tribe_color_Pink,tribe_color_Purple,tribe_color_Red,tribe_color_Yellow,industry,gender,state,region,astrological_sign,tribe_color
Colleen Haskell,23,"Miami Beach,  FL",Student,1,6,0,0,0,0,0,0,0,0,1,US,12/6/76,11,Pagong,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Education,F,Florida,South,Sagittarius,Yellow
Sean Kenniff,30,"Carle Place,  NY",Neurologist,1,5,0,0,0,0,0,0,0,0,1,US,11/27/69,12,Tagi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Healthcare & Wellness,M,New York,Northeast,Sagittarius,Orange
Susan Hawk,38,"Palmyra,  WI",Truck Driver,1,4,0,0,0,0,0,0,0,0,1,US,8/17/61,13,Tagi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Transportation & Logistics,F,Wisconsin,Midwest,Leo,Orange
Rudy Boesch,72,"Virginia Beach,  VA",Retired NAVY Seal,1,3,0,0,0,0,0,0,0,0,1,US,1/20/28,14,Tagi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Law, Public Safety, Military",M,Virginia,South,Aquarius,Orange
Kelly Wiglesworth,22,"Kernville,  CA",River Rafting Guide,1,2,0,0,0,0,0,0,0,0,1,US,6/24/77,15,Tagi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Sports, Fitness, Recreation",F,California,West,Cancer,Orange
Richard Hatch,39,"Newport,  RI",Corporate Trainer,1,1,1,0,0,0,0,0,0,1,1,US,4/8/61,16,Tagi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Business, Finance, Administrative",M,Rhode Island,Northeast,Aries,Orange
Debb Eaton,45,"Milan,  NH",Corrections Officer,2,16,0,0,0,0,0,0,0,0,1,US,6/11/55,1,Kucha,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Law, Public Safety, Military",F,New Hampshire,Northeast,Gemini,Blue
Kel Gleason,32,"Fort Hood,  TX",Army Intelligence Officer,2,15,0,0,0,1,1,0,0,0,1,US,1/5/68,2,Ogakor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Law, Public Safety, Military",M,Texas,South,Capricorn,Green
Maralyn Hershey,51,"Wakefield,  VA",Retired Police Officer,2,14,0,0,0,0,0,0,0,0,1,US,1/24/49,3,Ogakor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Law, Public Safety, Military",F,Virginia,South,Aquarius,Green
Mitchell Olson,23,"Union City,  NJ",Singer/Songwriter,2,13,0,0,0,0,0,0,0,1,1,US,3/17/77,4,Ogakor,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Arts, Media, Entertainment",M,New Jersey,Northeast,Pisces,Green
Kimmi Kappenberg,28,"Ronkonkoma,  NY",Bartender,2,12,0,0,0,0,0,0,0,0,1,US,11/11/72,5,Kucha,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Food and Hospitality,F,New York,Northeast,Scorpio,Blue
Michael Skupin,38,"White Lake,  MI",Software Publisher,2,11,0,0,0,0,0,0,0,0,1,US,1/29/62,6,Kucha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Science, Technology, Engineering, Energy",M,Michigan,Midwest,Aquarius,Blue
Jeff Varner,34,"New York,  NY",Internet Projects Manager,2,10,0,0,0,0,0,0,0,1,1,US,4/16/66,7,Kucha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Science, Technology, Engineering, Energy",M,New York,Northeast,Aries,Blue
Alicia Calaway,32,"New York,  NY",Personal Trainer,2,9,0,1,0,0,1,0,0,0,1,US,5/1/68,8,Kucha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Sports, Fitness, Recreation",F,New York,Northeast,Taurus,Blue
Jerri Manthey,30,"Los Angeles,  CA",Aspiring Actress,2,8,0,0,0,0,0,0,0,0,1,US,9/5/70,9,Ogakor,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Arts, Media, Entertainment",F,California,West,Virgo,Green
Nick Brown,23,"Steilacoom,  WA",Law Student,2,7,0,1,0,0,1,0,0,0,1,US,4/2/77,10,Kucha,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Education,M,Washington,West,Aries,Blue
Amber Mariano,22,"Beaver,  PA",Administrative Assistant,2,6,0,0,0,0,0,0,0,0,1,US,8/11/78,11,Ogakor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Business, Finance, Administrative",F,Pennsylvania,Northeast,Leo,Green
Rodger Bingham,53,"Crittenden,  KY",Teacher/Farmer,2,5,0,0,0,0,0,0,0,0,1,US,7/5/47,12,Kucha,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Education,M,Kentucky,Midwest,Cancer,Blue
Elisabeth Filarski,23,"Newton,  MA",Footwear Designer,2,4,0,0,0,0,0,0,0,0,1,US,5/28/77,13,Kucha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Arts, Media, Entertainment",F,Massachusetts,Northeast,Gemini,Blue
Keith Famie,40,"West Bloomfield,  MI",Chef,2,3,0,0,0,0,0,0,0,0,1,US,2/11/60,14,Ogakor,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Food and Hospitality,M,Michigan,Midwest,Aquarius,Green
Colby Donaldson,26,"Dallas,  TX",Auto Customizer,2,2,0,0,0,0,0,0,0,0,1,US,4/1/74,15,Ogakor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Transportation & Logistics,M,Texas,South,Aries,Green
Tina Wesson,39,"Knoxville,  TN",Personal Nurse,2,1,1,0,0,0,0,0,0,0,1,US,12/26/60,16,Ogakor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Healthcare & Wellness,F,Tennessee,South,Capricorn,Green
Diane Ogden,42,"Lincoln,  NE",Mail Carrier,3,16,0,0,0,0,0,0,0,0,1,US,4/27/59,1,Boran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Transportation & Logistics,F,Nebraska,Midwest,Taurus,Yellow
Jessie Camacho,27,"Orlando,  FL",Sheriff,3,15,0,0,0,1,1,0,0,0,1,US,9/24/74,2,Boran,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Law, Public Safety, Military",F,Florida,South,Libra,Yellow
Carl Bilancione,46,"Winter Springs,  FL",Dentist,3,14,0,0,0,0,0,0,0,0,1,US,6/20/55,3,Samburu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Healthcare & Wellness,M,Florida,South,Gemini,Red
Linda Spencer,44,"Boston,  MA",Career Counselor,3,13,0,1,0,0,1,0,0,0,1,US,1/1/57,4,Samburu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Business, Finance, Administrative",F,Massachusetts,Northeast,Capricorn,Red
Silas Gaither,23,"Los Angeles,  CA",Bartender,3,12,0,0,0,0,0,0,0,0,1,US,1/28/78,5,Samburu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Food and Hospitality,M,California,West,Aquarius,Red
Lindsey Richter,27,"Portland,  OR",Advertising Executive,3,11,0,0,0,0,0,0,0,0,1,US,8/31/74,6,Samburu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Advertising, Marketing, Sales",F,Oregon,West,Virgo,Red
Clarence Black,24,"Detroit,  MI",Basketball Coach,3,10,0,1,0,0,1,0,0,0,1,US,12/21/76,7,Boran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Sports, Fitness, Recreation",M,Michigan,Midwest,Sagittarius,Yellow
